timeSec, trackE, trackF, trackG, P0_mode, P0_rg, P0_az, P0_el, P1_mode, P1_rg, P1_az, P1_el, P2_mode, P2_rg, P2_az, P2_el, P3_mode, P3_rg, P3_az, P3_el
0.84,3135631.8430048334,-5452655.128292866,1111908.801349936,0,NaN,169.38487416848,84.18691569364081,0,NaN,-92.6126764027706,24.577001275798903,0,NaN,-45.81146548993559,18.108567886351352,0,NaN,0.5137940538940315,25.223239106987197,
0.86,3135635.7093643337,-5452652.9050375465,1111908.801349936,0,NaN,169.14882551081052,84.18887501222203,0,NaN,-92.61437186768626,24.575312767663682,0,NaN,-45.80291001537691,18.104859908806432,0,NaN,0.5189320006692895,25.216834835663153,
0.88,3135639.575723834,-5452650.681782227,1111908.801349936,0,NaN,168.90054027142585,84.18501030437554,0,NaN,-92.61047068179737,24.57590722325429,0,NaN,-45.7955146650655,18.10932915192151,0,NaN,0.531500338929317,25.227537917773294,
0.9,3135643.442083334,-5452648.458526908,1111908.801349936,0,NaN,168.6459408129417,84.17576573555063,0,NaN,-92.61392259763807,24.583360873353,0,NaN,-45.79470010247208,18.104263057549,0,NaN,0.5398955251675448,25.21890745543455,
0.92,3135647.3084428343,-5452646.235271589,1111908.801349936,0,NaN,168.40677110296727,84.16713621070986,0,NaN,-92.60863692856907,24.59063260494164,0,NaN,-45.78086636053762,18.122815919379143,0,NaN,0.5519103228950843,25.220507243712262,
0.9400000000000001,3135651.1748023345,-5452644.012016269,1111908.801349936,0,NaN,168.1636232231439,84.16748202722265,0,NaN,-92.62299351029458,24.589545358824402,0,NaN,-45.7769074858657,18.113226464967894,0,NaN,0.5716216110691033,25.220343437823278,
0.96,3135655.0411618347,-5452641.78876095,1111908.801349936,0,NaN,167.90785153076942,84.16194495636279,0,NaN,-92.61614018484137,24.591901769906222,0,NaN,-45.7687732633073,18.123868163277105,0,NaN,0.5748639197400344,25.217186549827293,
0.98,3135658.9075213354,-5452639.56550563,1111908.801349936,0,NaN,167.6759188488689,84.15923410983893,0,NaN,-92.61812129844844,24.600582337742814,0,NaN,-45.765702605871176,18.120569441209213,0,NaN,0.5879153761506368,25.220045749688335,
1.0,3135662.7738808356,-5452637.342250312,1111908.801349936,0,NaN,167.43015793664392,84.15307463764343,0,NaN,-92.61471886179403,24.61190435226413,0,NaN,-45.76747539735023,18.12138203329353,0,NaN,0.5997982694903865,25.221703300375314,
1.02,3135666.640240336,-5452635.118994992,1111908.801349936,0,NaN,167.18185964669254,84.14636953888345,0,NaN,-92.62325913565645,24.614605707682042,0,NaN,-45.7510271950218,18.120156096494444,0,NaN,0.6213031543244789,25.22516610709259,
1.04,3135670.506599836,-5452632.895739673,1111908.801349936,0,NaN,166.94638685598335,84.1446538853739,0,NaN,-92.61878311777947,24.619528307623337,0,NaN,-45.74931088895033,18.13255565383298,0,NaN,0.6267742611176726,25.21526643333576,
1.06,3135674.3729593363,-5452630.672484353,1111908.801349936,0,NaN,166.70191397235718,84.13552103052773,0,NaN,-92.6237832949234,24.618512291505688,0,NaN,-45.74429108492077,18.11982396629962,0,NaN,0.6383771749660871,25.22141980743516,
1.08,3135678.2393188365,-5452628.449229035,1111908.801349936,0,NaN,166.4596817366825,84.13181804469717,0,NaN,-92.62585095108952,24.630079560596148,0,NaN,-45.73344822707102,18.1319357404322,0,NaN,0.6632117775114625,25.225382982719314,
1.1,3135682.1056783367,-5452626.225973715,1111908.801349936,0,NaN,166.21468295425657,84.12298718802144,0,NaN,-92.62354290417466,24.62789171645918,0,NaN,-45.73073286964807,18.134866528068738,0,NaN,0.6633257086285425,25.21584460163326,
1.12,3135685.972037837,-5452624.002718396,1111908.801349936,0,NaN,165.97121534419063,84.11636799365363,0,NaN,-92.62754009041106,24.630539334518645,0,NaN,-45.72811765745,18.132395843098738,0,NaN,0.6752277620583303,25.223307682282684,
1.1400000000000001,3135689.838397337,-5452621.779463076,1111908.801349936,0,NaN,165.7337174620918,84.10865884104246,0,NaN,-92.623040685214,24.642327154968733,0,NaN,-45.71856335203741,18.138228596343968,0,NaN,0.690280774584398,25.22032224594406,
1.16,3135693.7047568373,-5452619.556207757,1111908.801349936,0,NaN,165.49681350609163,84.10899484540197,0,NaN,-92.61473157171787,24.637784638831363,0,NaN,-45.712296245157596,18.136457709419755,0,NaN,0.6952847761411071,25.21264346644591,
1.18,3135697.5711163376,-5452617.332952438,1111908.801349936,0,NaN,165.2566980352139,84.09315829022951,0,NaN,-92.61807278664571,24.64205854260685,0,NaN,-45.706777659236195,18.14266126928995,0,NaN,0.7153911917074064,25.21019289769543,
1.2,3135701.4374758378,-5452615.109697118,1111908.801349936,0,NaN,165.012595468773,84.09062889950151,0,NaN,-92.62153302409756,24.650497029771298,0,NaN,-45.70361958329892,18.136133734619907,0,NaN,0.7245941618111122,25.216365438550753,
1.22,3135705.3038353384,-5452612.886441799,1111908.801349936,0,NaN,164.77398784169043,84.08064703899181,0,NaN,-92.62093403155976,24.648547805727794,0,NaN,-45.69625246690555,18.143408546089038,0,NaN,0.7441051563279487,25.219264349168633,
1.24,3135709.1701948387,-5452610.66318648,1111908.801349936,0,NaN,164.54308812144123,84.07660483225838,0,NaN,-92.61581052315934,24.656347075926853,0,NaN,-45.693527191838726,18.146055550867413,0,NaN,0.7476216012181767,25.21233943853544,
1.26,3135713.036554339,-5452608.439931161,1111908.801349936,0,NaN,164.30568731371582,84.06784673207395,0,NaN,-92.6295170178389,24.657177451092068,0,NaN,-45.67967946940819,18.142728162675272,0,NaN,0.7648561823828672,25.22019495498493,
1.28,3135716.902913839,-5452606.216675841,1111908.801349936,0,NaN,164.0729221323931,84.06352276627227,0,NaN,-92.6252144935104,24.661546902593365,0,NaN,-45.68614605719264,18.14907984621148,0,NaN,0.7697493894142229,25.221988043256378,
1.3,3135720.7692733393,-5452603.993420522,1111908.801349936,0,NaN,163.83118251745674,84.04683764513535,0,NaN,-92.6296551257289,24.671750497193024,0,NaN,-45.680726371817755,18.148874625877216,0,NaN,0.7755097656790648,25.220101826891746,
1.32,3135724.6356328395,-5452601.770165202,1111908.801349936,0,NaN,163.60389060891214,84.04689515322578,0,NaN,-92.62437057752732,24.681933872342185,0,NaN,-45.67246893501638,18.150113847272642,0,NaN,0.7901721117980361,25.216055038883404,
1.34,3135728.5019923397,-5452599.546909884,1111908.801349936,0,NaN,163.35595936394847,84.04175761534451,0,NaN,-92.62745275896899,24.675261570784212,0,NaN,-45.666522774062884,18.142835156948436,0,NaN,0.8119485775530291,25.215492324046615,
1.36,3135732.36835184,-5452597.323654564,1111908.801349936,0,NaN,163.1276789050696,84.03461806754633,0,NaN,-92.62347260950281,24.687002409967985,0,NaN,-45.64970409953633,18.155792145033487,0,NaN,0.820676846965239,25.22359674519689,
1.3800000000000001,3135736.23471134,-5452595.100399245,1111908.801349936,0,NaN,162.89380909417284,84.02632031300735,0,NaN,-92.62869325553837,24.696168157610874,0,NaN,-45.649994914053956,18.15605780109412,0,NaN,0.8402750300264733,25.227282884381594,
1.4000000000000001,3135740.1010708404,-5452592.877143925,1111908.801349936,0,NaN,162.66047532494937,84.01857008516625,0,NaN,-92.63074427039767,24.693142789367958,0,NaN,-45.640454480504786,18.157873785048153,0,NaN,0.848819554411924,25.221517093588215,
1.42,3135743.9674303406,-5452590.6538886065,1111908.801349936,0,NaN,162.42492449036712,84.01177899696987,0,NaN,-92.62900072208643,24.70333412424261,0,NaN,-45.64557162402414,18.16199091954814,0,NaN,0.8586664523263925,25.222337015208254,
1.44,3135747.833789841,-5452588.430633287,1111908.801349936,0,NaN,162.1945460084977,84.00256567882053,0,NaN,-92.63254919550569,24.71037067834257,0,NaN,-45.62669277748472,18.165282227072588,0,NaN,0.8757292050352536,25.21067282082331,
1.46,3135751.7001493415,-5452586.207377967,1111908.801349936,0,NaN,161.96038767828978,83.99537025207829,0,NaN,-92.63258788688675,24.70551505667235,0,NaN,-45.62250282713369,18.162349366441596,0,NaN,0.8839685151131773,25.22670116883999,
1.48,3135755.5665088417,-5452583.984122648,1111908.801349936,0,NaN,161.7308133033791,83.99085184671092,0,NaN,-92.62583089160441,24.715213956287275,0,NaN,-45.61605540495526,18.165923591712794,0,NaN,0.8910878652589301,25.219076848751495,
1.5,3135759.432868342,-5452581.760867329,1111908.801349936,0,NaN,161.50210329211276,83.98318417321455,0,NaN,-92.63243428495142,24.72094274044342,0,NaN,-45.61821272698664,18.16994651955587,0,NaN,0.9142020005379943,25.219793733578157,
1.52,3135763.299227842,-5452579.53761201,1111908.801349936,0,NaN,161.27062779666315,83.97061658887519,0,NaN,-92.63174130591854,24.71982389408865,0,NaN,-45.60148563350327,18.1769356061963,0,NaN,0.9236004667556539,25.216581193212264,
1.54,3135767.1655873423,-5452577.31435669,1111908.801349936,0,NaN,161.04729213908578,83.96446292538853,0,NaN,-92.63640172317425,24.72843295122769,0,NaN,-45.61119398712393,18.16621387546092,0,NaN,0.9273360205031534,25.223853807752214,
1.56,3135771.0319468426,-5452575.091101371,1111908.801349936,0,NaN,160.82300703373522,83.95611552495417,0,NaN,-92.63358737091477,24.736315821278758,0,NaN,-45.59660663682025,18.16671941488323,0,NaN,0.9355284643040835,25.22146531395802,
1.58,3135774.898306343,-5452572.867846052,1111908.801349936,0,NaN,160.58957000636508,83.95076448535472,0,NaN,-92.63346827897254,24.74148029395716,0,NaN,-45.59454497083651,18.173258026578374,0,NaN,0.9571489295375157,25.213153240592924,
1.6,3135778.764665843,-5452570.644590733,1111908.801349936,0,NaN,160.3573212667551,83.9433456624373,0,NaN,-92.63020671461834,24.74522372250166,0,NaN,-45.59248116194337,18.183289220857315,0,NaN,0.9609806232640192,25.214850734385998,
1.62,3135782.631025343,-5452568.421335413,1111908.801349936,0,NaN,160.1366147804966,83.92897532225169,0,NaN,-92.63471228214581,24.74463599582795,0,NaN,-45.57927734298421,18.17486015251762,0,NaN,0.9782580671848644,25.21884379030052,
1.6400000000000001,3135786.4973848434,-5452566.198080094,1111908.801349936,0,NaN,159.9138652127924,83.91608356368538,0,NaN,-92.63404509193386,24.748063073182816,0,NaN,-45.57024165207365,18.180990263235085,0,NaN,0.9910380750532336,25.214420506206846,
1.6600000000000001,3135790.3637443436,-5452563.974824774,1111908.801349936,0,NaN,159.6913320657398,83.91113423334973,0,NaN,-92.63222943137524,24.754043910904937,0,NaN,-45.576349654970436,18.17978606233959,0,NaN,1.0041093343358312,25.222003062071295,
1.68,3135794.230103844,-5452561.7515694555,1111908.801349936,0,NaN,159.46045508998455,83.90768430014181,0,NaN,-92.63589029718597,24.758691555183947,0,NaN,-45.55821269500886,18.17945745193112,0,NaN,1.0098923576946655,25.22016353568552,
1.7,3135798.0964633445,-5452559.528314136,1111908.801349936,0,NaN,159.23971327926705,83.89650193146883,0,NaN,-92.63582611367067,24.761764993414033,0,NaN,-45.55631528302022,18.19112825555156,0,NaN,1.0244192351067376,25.219444517360667,
1.72,3135801.9628228447,-5452557.305058816,1111908.801349936,0,NaN,159.01886898307947,83.88869925516256,0,NaN,-92.63737115388827,24.76735557393556,0,NaN,-45.549232683815056,18.18963095086143,0,NaN,1.039982718887528,25.21275225128145,
1.74,3135805.829182345,-5452555.081803497,1111908.801349936,0,NaN,158.79448269042751,83.88177612385529,0,NaN,-92.63797657760519,24.76416766826743,0,NaN,-45.547471679888574,18.18433919140024,0,NaN,1.0461375067074177,25.21124383838787,
1.76,3135809.695541845,-5452552.858548178,1111908.801349936,0,NaN,158.5687418776693,83.8698599375125,0,NaN,-92.63528936501011,24.778682594120294,0,NaN,-45.54201657189629,18.194865349501292,0,NaN,1.0702059682793519,25.220314831142137,
1.78,3135813.5619013454,-5452550.635292859,1111908.801349936,0,NaN,158.35082011174336,83.85649540100592,0,NaN,-92.6374852576392,24.782535592069447,0,NaN,-45.533731618028135,18.193998450253403,0,NaN,1.0757480331637665,25.21349759188245,
