time, NLat, ELon, eHgt
20.92, -60.07760312699152, 10.10802065597088, 10000.53528078273
20.94, -60.077639271242695, 10.108039041789377, 10000.534040498314
20.96, -60.077675497892095, 10.108057267685314, 10000.53279737162
20.98, -60.077711806219085, 10.10807533329611, 10000.531551425694
21.0, -60.077748195501385, 10.108093238262377, 10000.530302687432
21.02, -60.077784665015116, 10.108110982227922, 10000.52905118058
21.04, -60.0778212140348, 10.108128564839802, 10000.527796927723
21.06, -60.07785784183338, 10.108145985748195, 10000.526539956452
21.080000000000002, -60.07789454768221, 10.108163244606597, 10000.525280290167
21.1, -60.07793133085116, 10.108180341071652, 10000.524017955526
21.12, -60.077968190608466, 10.108197274803256, 10000.522752976394
21.14, -60.078005126220894, 10.108214045464536, 10000.521485376288
21.16, -60.07804213695371, 10.108230652721891, 10000.520215182914
21.18, -60.07807922207067, 10.108247096244929, 10000.518942421186
21.2, -60.078116380834025, 10.108263375706585, 10000.517667114502
21.22, -60.07815361250459, 10.108279490782964, 10000.516389289754
21.240000000000002, -60.07819091634173, 10.108295441153517, 10000.515108969877
21.26, -60.07822829160337, 10.108311226500925, 10000.513826184091
21.28, -60.078265737546, 10.10832684651115, 10000.512540955562
21.3, -60.07830325342473, 10.108342300873526, 10000.511253308621
21.32, -60.07834083849324, 10.108357589280546, 10000.509963271092
21.34, -60.07837849200388, 10.108372711428128, 10000.50867086614
21.36, -60.078416213207596, 10.108387667015425, 10000.507376123336
21.38, -60.078454001354, 10.10840245574492, 10000.5060790641
21.400000000000002, -60.07849185569141, 10.108417077322425, 10000.504779716488
21.42, -60.07852977546676, 10.108431531457057, 10000.503478105646
21.44, -60.07856775992573, 10.108445817861295, 10000.502174256719
21.46, -60.0786058083127, 10.108459936250943, 10000.500868196017
21.48, -60.078643919870785, 10.108473886345138, 10000.499559950433
21.5, -60.07868209384181, 10.108487667866353, 10000.498249545577
21.52, -60.078720329466414, 10.10850128054045, 10000.496937005315
21.54, -60.07875862598395, 10.108514724096654, 10000.495622357586
21.56, -60.07879698263261, 10.108527998267466, 10000.494305628352
21.580000000000002, -60.07883539864937, 10.108541102788855, 10000.492986843688
21.6, -60.078873873269984, 10.108554037400166, 10000.491666030604
21.62, -60.07891240572913, 10.108566801844038, 10000.490343212034
21.64, -60.078950995260236, 10.108579395866537, 10000.489018419059
21.66, -60.07898964109567, 10.108591819217208, 10000.487691672286
21.68, -60.07902834246665, 10.108604071648811, 10000.486363002798
21.7, -60.079067098603275, 10.108616152917682, 10000.485032435274
21.72, -60.07910590873459, 10.108628062783454, 10000.483699994744
21.740000000000002, -60.07914477208853, 10.108639801009218, 10000.48236570973
21.76, -60.07918368789197, 10.108651367361443, 10000.481029605842
21.78, -60.079222655370806, 10.108662761610063, 10000.479691708926
21.8, -60.079261673749805, 10.10867398352839, 10000.478352047969
21.82, -60.079300742252805, 10.108685032893193, 10000.477010648116
21.84, -60.07933986010261, 10.108695909484654, 10000.475667533115
21.86, -60.07937902652103, 10.108706613086424, 10000.474322732654
21.88, -60.079418240728955, 10.108717143485563, 10000.47297627444
21.900000000000002, -60.07945750194626, 10.108727500472591, 10000.471628182451
21.92, -60.07949680939195, 10.108737683841468, 10000.47027848498
21.94, -60.079536162284064, 10.108747693389645, 10000.468927208567
21.96, -60.07957555983975, 10.108757528917932, 10000.467574380222
21.98, -60.07961500127528, 10.108767190230726, 10000.466220026603
22.0, -60.07965448580604, 10.108776677135836, 10000.46486417402
22.02, -60.07969401264655, 10.108785989444506, 10000.463506849948
22.04, -60.0797335810105, 10.108795126971499, 10000.462148081278
22.06, -60.07977319011077, 10.108804089535068, 10000.460787894437
22.080000000000002, -60.07981283915939, 10.108812876956861, 10000.459426317248
22.1, -60.079852527367635, 10.10882148906211, 10000.458063376369
22.12, -60.079892253945964, 10.10882992567949, 10000.456699097413
22.14, -60.07993201810411, 10.108838186641146, 10000.455333511578
22.16, -60.079971819051046, 10.108846271782777, 10000.453966642846
22.18, -60.08001165599498, 10.108854180943537, 10000.452598517877
22.2, -60.08005152814344, 10.108861913966024, 10000.451229165075
22.22, -60.08009143470326, 10.108869470696503, 10000.449858611333
22.240000000000002, -60.08013137488056, 10.108876850984588, 10000.448486882262
22.26, -60.08017134788079, 10.10888405468345, 10000.447114008944
22.28, -60.08021135290878, 10.108891081649828, 10000.445740015712
22.3, -60.080251389168716, 10.1088979317439, 10000.444364930736
22.32, -60.08029145586413, 10.108904604829414, 10000.442988782306
22.34, -60.080331552197954, 10.108911100773627, 10000.441611594637
22.36, -60.08037167737258, 10.108917419447277, 10000.440233396366
22.38, -60.08041183058978, 10.108923560724703, 10000.438854217064
22.400000000000002, -60.08045201105076, 10.108929524483713, 10000.437474083155
22.42, -60.08049221795623, 10.108935310605698, 10000.436093020253
22.44, -60.080532450506325, 10.108940918975513, 10000.434711056761
22.46, -60.080572707900714, 10.108946349481622, 10000.43332822097
22.48, -60.08061298933851, 10.108951602015983, 10000.431944540702
22.5, -60.08065329401845, 10.108956676474092, 10000.430560041103
22.52, -60.08069362113868, 10.108961572755033, 10000.42917475081
22.54, -60.080733969897004, 10.108966290761385, 10000.427788698697
22.56, -60.08077433949074, 10.108970830399283, 10000.426401910023
22.580000000000002, -60.08081472911681, 10.108975191578423, 10000.425014414941
22.6, -60.08085513797173, 10.108979374212048, 10000.423626238597
22.62, -60.080895565251666, 10.108983378216989, 10000.42223741021
22.64, -60.08093601015236, 10.108987203513518, 10000.420847957255
22.66, -60.080976471869256, 10.108990850025625, 10000.419457903947
22.68, -60.08101694959741, 10.108994317680697, 10000.418067284161
22.7, -60.08105744253161, 10.108997606409797, 10000.416676121415
22.72, -60.081097949866326, 10.10900071614747, 10000.415284443996
22.740000000000002, -60.08113847079573, 10.109003646831855, 10000.413892279728
22.76, -60.08117900451373, 10.109006398404695, 10000.412499654456
22.78, -60.081219550213966, 10.10900897081118, 10000.41110659996
22.8, -60.08126010708988, 10.109011364000208, 10000.409713141038
22.82, -60.081300674334656, 10.109013577924127, 10000.408319305396
22.84, -60.08134125114126, 10.10901561253892, 10000.40692512272
22.86, -60.081381836702526, 10.109017467804088, 10000.405530618038
22.88, -60.08142243021105, 10.109019143682755, 10000.40413582162
22.900000000000002, -60.08146303085929, 10.109020640141535, 10000.40274075733
22.92, -60.08150363783958, 10.109021957150684, 10000.40134545858
22.94, -60.08154425034413, 10.109023094684018, 10000.399949948303
22.96, -60.08158486756503, 10.109024052718901, 10000.398554257816
22.98, -60.081625488694215, 10.109024831236257, 10000.397158410982
23.0, -60.08166611292365, 10.109025430220616, 10000.395762438304
23.02, -60.081706739445195, 10.109025849660053, 10000.394366367138
23.04, -60.08174736745062, 10.109026089546209, 10000.392970226007
23.06, -60.081787996132306, 10.109026152672227, 10000.39157408895
23.080000000000002, -60.08182862489266, 10.109026154915806, 10000.390180001152
23.1, -60.081869253653025, 10.109026157154391, 10000.388789027813
23.12, -60.08190988241342, 10.10902615938796, 10000.38740116579
23.14, -60.08195051117383, 10.109026161616514, 10000.386016417877
23.16, -60.08199113993425, 10.109026163840054, 10000.38463478419
23.18, -60.08203176869469, 10.109026166058584, 10000.383256264147
23.2, -60.08207239745516, 10.109026168272097, 10000.381880856585
23.22, -60.082113026215644, 10.109026170480611, 10000.380508562666
23.240000000000002, -60.08215365497614, 10.10902617268412, 10000.379139384255
23.26, -60.082194283736655, 10.10902617488261, 10000.377773318207
23.28, -60.08223491249719, 10.109026177076098, 10000.376410365105
23.3, -60.082275541257744, 10.109026179264555, 10000.375050525065
23.32, -60.08231617001831, 10.109026181448007, 10000.37369379995
